country;continent;year;Business_environment;Ease_starting_business;Human_capital_and_research;Infrastructure;Ease_getting_credit;University_industry_collaboration;New_business_density;Total_computer_software_spending;Creative_goods_and_services
Albania;Europa;2020;79.7;91.8;20.3;40.9;70.0;38.2;5.2;8.7;20.2
Albania;Europa;2019;79.5;91.6;22.7;46.2;70.0;38.8;4.9;9.0;30.7
Albania;Europa;2018;78.8;91.5;21.3;45.3;70.0;40.5;5.0;9.4;26.5
Algeria;Africa;2020;63.6;78.0;28.4;31.5;10.0;37.1;1.1;0.6;1.1
Algeria;Africa;2019;63.7;78.1;27.9;42.1;10.0;26.9;2.1;0.6;1.0
Algeria;Africa;2018;63.4;77.5;25.9;40.3;10.0;27.0;2.1;0.2;2.5
Argentina;Americas;2020;60.2;80.4;35.9;39.5;50.0;37.4;0.6;12.5;12.4
Argentina;Americas;2019;61.6;82.0;38.7;45.8;55.0;37.6;1.6;13.2;14.6
Argentina;Americas;2018;58.2;75.2;35.5;43.4;55.0;38.2;1.6;14.8;11.3
Armenia;Asia;2020;70.3;96.1;20.5;34.4;70.0;35.5;10.6;8.7;20.9
Armenia;Asia;2019;70.1;96.2;16.9;40.2;70.0;36.3;6.4;9.7;22.4
Armenia;Asia;2018;68.7;94.5;15.2;36.5;70.0;37.2;6.4;9.3;29.9
Australia;Oceania;2020;87.7;96.6;59.0;55.8;95.0;50.4;50.5;22.8;23.7
Australia;Oceania;2019;87.7;96.5;57.7;60.9;90.0;53.1;56.7;23.1;27.5
Australia;Oceania;2018;87.6;96.5;65.2;62.2;90.0;54.9;56.7;24.8;35.5
Austria;Europa;2020;80.3;83.2;59.7;56.5;55.0;64.1;2.1;52.3;26.7
Austria;Europa;2019;80.3;83.2;60.2;61.4;55.0;65.2;2.2;53.1;27.1
Austria;Europa;2018;80.3;83.1;61.1;62.8;55.0;63.5;2.2;55.5;38.3
Azerbaijan;Asia;2020;79.8;96.2;21.8;36.1;100.0;59.5;5.7;6.1;8.1
Azerbaijan;Asia;2019;80.0;96.1;17.0;45.3;80.0;54.2;3.8;6.3;8.7
Azerbaijan;Asia;2018;78.3;94.4;18.4;44.4;40.0;54.2;3.8;6.5;8.7
Bahrain;Asia;2020;73.9;89.6;25.2;49.0;55.0;36.8;10.8;25.7;7.9
Bahrain;Asia;2019;67.1;89.6;24.4;51.6;45.0;45.4;n/a;26.9;14.8
Bahrain;Asia;2018;66.2;87.9;27.6;54.1;45.0;45.4;n/a;31.2;19.2
Bangladesh;Asia;2020;55.3;82.4;9.0;33.9;45.0;26.4;0.0;14.7;1.2
Bangladesh;Asia;2019;54.5;80.8;8.8;40.0;25.0;26.5;0.3;14.6;0.8
Bangladesh;Asia;2018;54.2;80.7;9.1;35.5;25.0;25.7;0.3;14.1;2.7
Belarus;Europa;2020;73.2;93.5;40.9;43.2;50.0;0.0;4.6;3.3;5.1
Belarus;Europa;2019;73.0;93.4;41.6;48.2;55.0;n/a;4.0;3.6;5.0
Belarus;Europa;2018;72.1;92.9;41.9;42.2;50.0;n/a;4.0;3.2;6.0
Belgium;Europa;2020;88.2;92.3;57.8;52.2;65.0;68.7;11.7;58.0;30.3
Belgium;Europa;2019;88.5;93.0;55.0;57.2;65.0;68.7;13.6;58.9;30.9
Belgium;Europa;2018;88.0;94.4;55.7;56.5;45.0;71.1;13.6;60.9;42.9
Benin;Africa;2020;65.8;90.6;18.9;22.2;30.0;35.6;1.7;4.0;0.4
Benin;Africa;2019;65.6;90.6;21.1;27.7;30.0;30.8;n/a;4.1;0.1
Benin;Africa;2018;65.5;90.6;22.4;22.8;30.0;30.6;n/a;3.7;1.1
Bolivia;Americas;2019;53.3;64.3;26.5;35.1;35.0;27.0;2.0;23.6;11.7
Bolivia (Plurinational State of);Americas;2020;55.8;69.4;33.1;29.1;35.0;25.2;1.7;22.9;9.3
Bolivia, Plurinational State of;Americas;2018;52.6;63.0;25.5;33.9;35.0;n/a;2.0;20.5;21.9
Bosnia and Herzegovina;Europa;2020;64.1;60.0;35.0;36.8;65.0;23.7;3.7;7.3;11.6
Bosnia and Herzegovina;Europa;2019;63.7;59.6;42.0;35.3;65.0;27.2;4.1;7.3;13.2
Bosnia and Herzegovina;Europa;2018;66.6;65.9;41.4;34.5;65.0;30.0;4.1;7.0;17.0
Botswana;Africa;2020;62.2;76.2;33.6;29.4;60.0;36.9;70.2;9.2;2.1
Botswana;Africa;2019;62.1;76.2;28.2;35.2;55.0;34.7;67.2;9.5;1.6
Botswana;Africa;2018;62.0;76.2;29.8;36.8;55.0;38.0;67.2;8.9;7.2
Brazil;Americas;2020;65.9;81.3;35.8;41.8;50.0;40.0;4.4;14.1;6.5
Brazil;Americas;2019;64.4;80.2;36.0;46.8;50.0;42.5;0.5;15.0;7.0
Brazil;Americas;2018;56.3;65.0;34.9;45.1;45.0;40.3;0.5;17.9;10.0
Brunei Darussalam;Asia;2020;76.6;94.9;34.3;47.0;100.0;39.4;8.1;0.0;2.6
Brunei Darussalam;Asia;2019;75.0;94.9;33.3;50.4;100.0;37.3;9.1;n/a;3.3
Brunei Darussalam;Asia;2018;72.7;90.2;31.3;49.7;95.0;37.6;9.1;n/a;8.9
Bulgaria;Europa;2020;71.6;85.4;31.0;53.2;65.0;42.3;35.2;21.8;19.8
Bulgaria;Europa;2019;71.5;85.4;30.6;53.7;65.0;40.2;39.8;22.7;19.3
Bulgaria;Europa;2018;72.7;85.4;30.9;50.2;70.0;39.3;39.8;23.1;29.7
Burkina Faso;Africa;2020;64.5;88.2;18.1;26.4;30.0;30.2;1.0;2.4;1.7
Burkina Faso;Africa;2019;64.5;88.2;14.4;31.2;30.0;31.9;0.5;2.5;1.2
Burkina Faso;Africa;2018;64.4;88.2;16.5;26.6;30.0;n/a;0.6;2.1;0.9
Burundi;Africa;2019;62.7;94.8;17.7;14.0;10.0;33.8;n/a;6.2;2.6
Côte d'Ivoire;Africa;2020;70.8;93.7;12.2;22.4;70.0;30.8;2.5;1.1;0.9
Côte d'Ivoire;Africa;2018;69.8;91.7;13.8;24.6;30.0;n/a;n/a;0.7;2.3
Cabo Verde;Africa;2020;42.2;84.5;19.4;36.1;35.0;37.9;13.8;0.0;12.2
Cambodia;Asia;2020;50.5;52.4;11.1;23.1;80.0;36.7;2.2;2.0;7.2
Cambodia;Asia;2019;50.6;52.8;11.2;26.5;80.0;37.4;n/a;2.3;4.4
Cambodia;Asia;2018;50.1;51.9;11.5;25.3;80.0;35.8;n/a;1.9;9.9
Cameroon;Africa;2020;61.4;86.3;17.4;24.1;60.0;40.5;0.0;13.6;3.8
Cameroon;Africa;2019;61.4;86.3;18.8;29.9;60.0;38.4;n/a;14.2;10.4
Cameroon;Africa;2018;59.6;82.4;17.8;22.4;60.0;37.6;n/a;15.0;13.7
Canada;Americas;2020;89.6;98.2;51.8;53.3;85.0;65.9;0.4;60.1;24.0
Canada;Americas;2019;89.8;98.2;50.9;58.5;85.0;63.0;0.2;61.7;24.7
Canada;Americas;2018;89.8;98.2;53.7;60.2;85.0;60.0;0.2;61.3;21.2
Chile;Americas;2020;75.7;91.4;33.1;46.4;55.0;41.2;36.0;25.0;8.1
Chile;Americas;2019;74.5;89.1;32.5;51.0;55.0;43.8;32.7;25.8;10.9
Chile;Americas;2018;74.5;89.5;31.2;48.9;50.0;42.1;32.7;29.3;18.6
China;Asia;2020;78.1;94.1;49.4;52.1;60.0;56.5;0.0;33.8;39.7
China;Asia;2019;74.7;93.5;47.6;58.7;60.0;56.5;n/a;33.5;35.2
China;Asia;2018;70.7;85.5;47.8;56.8;60.0;56.5;n/a;34.0;35.1
Colombia;Americas;2020;79.2;87.0;25.9;46.4;90.0;42.6;6.9;14.3;7.8
Colombia;Americas;2019;76.4;85.3;27.0;51.3;95.0;41.9;8.3;15.1;9.9
Colombia;Americas;2018;77.7;85.3;26.7;51.4;95.0;43.2;8.3;15.1;14.4
Costa Rica;Americas;2020;57.3;79.9;30.0;41.1;85.0;42.5;9.0;24.1;31.2
Costa Rica;Americas;2019;57.2;79.9;28.5;47.0;85.0;45.1;7.7;24.8;34.8
Costa Rica;Americas;2018;58.0;81.7;28.0;46.3;85.0;43.5;7.7;22.7;27.1
Cote d'Ivoire;Africa;2019;70.8;93.7;13.6;28.1;70.0;22.1;n/a;1.1;1.1
Croatia;Europa;2020;70.9;85.3;36.5;51.1;50.0;28.3;20.4;4.5;24.2
Croatia;Europa;2019;69.4;82.6;35.6;51.6;55.0;27.7;18.1;4.6;30.1
Croatia;Europa;2018;70.8;86.4;35.9;53.8;55.0;28.8;18.1;4.2;47.9
Cyprus;Europa;2020;82.3;92.0;39.3;53.6;60.0;39.7;61.4;15.5;15.1
Cyprus;Europa;2019;83.3;91.2;35.8;55.9;60.0;39.2;60.6;15.7;22.4
Cyprus;Europa;2018;84.8;91.2;36.0;48.1;60.0;40.0;60.6;16.1;24.0
Czech Republic;Europa;2018;82.1;87.4;41.7;55.2;70.0;47.6;14.6;27.7;42.7
Czech Republic (the);Europa;2020;81.1;82.1;43.4;55.8;70.0;51.0;15.2;27.0;46.5
Czech Republic (the);Europa;2019;81.8;83.6;43.4;56.4;70.0;50.9;14.6;27.8;42.2
Denmark;Europa;2020;88.9;92.7;62.9;61.5;70.0;69.1;34.9;54.5;33.1
Denmark;Europa;2019;88.8;92.5;63.1;65.8;70.0;64.0;36.2;55.2;30.7
Denmark;Europa;2018;88.7;92.5;63.0;62.3;70.0;62.5;36.3;56.1;41.0
Dominican Republic;Americas;2018;60.4;83.2;16.7;42.0;45.0;29.6;5.4;1.4;30.3
Dominican Republic (the);Americas;2020;61.7;85.4;18.5;37.9;45.0;35.2;5.0;1.4;22.7
Dominican Republic (the);Americas;2019;60.5;83.4;18.0;44.6;45.0;31.8;5.4;1.7;16.9
Ecuador;Americas;2020;47.3;69.1;21.0;37.3;45.0;34.7;0.0;19.5;5.2
Ecuador;Americas;2019;48.0;70.6;21.1;43.4;45.0;34.5;n/a;20.1;8.1
Ecuador;Americas;2018;47.8;70.5;21.4;41.6;45.0;33.9;n/a;18.9;11.6
Egypt;Africa;2020;65.0;87.8;21.5;31.5;65.0;38.5;0.0;38.0;6.9
Egypt;Africa;2019;63.2;84.1;19.7;36.8;65.0;30.0;n/a;38.3;12.1
Egypt;Africa;2018;61.7;84.5;22.9;37.9;50.0;29.2;n/a;23.7;17.6
El Salvador;Americas;2020;62.1;78.6;16.4;31.4;80.0;27.2;1.8;3.5;5.6
El Salvador;Americas;2019;62.0;78.4;18.3;35.7;80.0;27.6;1.9;3.7;4.0
El Salvador;Americas;2018;62.3;78.9;17.3;33.9;80.0;28.3;1.9;3.7;12.7
Estonia;Europa;2020;77.7;95.4;42.3;61.2;70.0;47.6;82.5;11.7;36.5
Estonia;Europa;2019;78.9;95.3;42.1;61.5;70.0;46.4;75.9;12.5;38.6
Estonia;Europa;2018;80.4;95.2;41.5;60.2;70.0;48.2;75.9;12.7;55.8
Ethiopia;Africa;2020;51.0;71.7;9.3;27.3;15.0;39.6;1.7;0.0;8.7
Ethiopia;Africa;2019;50.7;70.8;10.6;35.6;15.0;43.9;n/a;0.0;14.2
Finland;Europa;2020;93.1;93.5;61.5;59.9;60.0;75.8;14.9;48.4;24.4
Finland;Europa;2019;92.6;92.4;63.4;62.1;65.0;74.7;14.4;49.3;24.7
Finland;Europa;2018;93.0;93.2;64.2;62.0;65.0;77.4;14.4;52.7;32.4
France;Europa;2020;83.9;93.1;56.2;57.7;50.0;58.5;16.8;54.6;28.4
France;Europa;2019;83.7;93.3;55.8;62.3;50.0;54.6;6.7;55.4;26.6
France;Europa;2018;83.6;93.3;56.8;62.9;50.0;53.7;6.7;57.3;36.7
Georgia;Europa;2020;77.9;99.6;31.6;37.4;85.0;32.0;36.1;8.5;11.7
Georgia;Europa;2019;77.7;99.3;30.5;44.7;85.0;32.0;30.6;8.3;16.9
Georgia;Europa;2018;76.7;97.8;30.0;42.5;85.0;29.3;30.6;7.9;19.5
Germany;Europa;2020;86.7;83.7;61.1;58.0;70.0;70.7;4.6;47.9;27.6
Germany;Europa;2019;86.8;83.6;63.2;62.0;70.0;72.8;4.8;49.0;26.3
Germany;Europa;2018;86.9;83.5;58.7;60.5;70.0;72.9;4.8;51.5;33.7
Ghana;Africa;2020;55.2;85.0;17.2;32.5;60.0;48.2;2.9;0.6;10.0
Ghana;Africa;2019;54.6;84.3;19.2;35.0;60.0;47.3;3.3;0.9;5.1
Ghana;Africa;2018;54.4;84.0;20.6;32.1;65.0;41.2;3.3;0.5;1.1
Greece;Europa;2020;74.6;96.0;49.9;49.9;45.0;27.9;4.8;52.9;23.4
Greece;Europa;2019;73.9;92.4;49.5;51.7;50.0;25.6;2.8;53.4;22.5
Greece;Europa;2018;74.0;92.3;53.2;47.0;50.0;25.8;2.8;54.3;28.7
Guatemala;Americas;2020;57.2;86.8;10.8;25.9;85.0;37.7;1.7;0.9;3.2
Guatemala;Americas;2019;57.1;86.7;11.1;30.6;80.0;41.6;2.0;1.0;2.9
Guatemala;Americas;2018;53.4;79.3;10.7;32.5;80.0;40.1;2.0;0.7;7.7
Guinea;Africa;2020;61.5;84.5;6.1;16.9;30.0;68.5;1.3;2.9;2.7
Guinea;Africa;2019;61.5;83.9;6.5;27.0;30.0;67.2;0.5;3.6;1.2
Guinea;Africa;2018;60.5;81.8;7.3;26.4;30.0;67.2;0.5;3.3;6.3
Honduras;Americas;2020;52.0;71.4;18.6;27.2;80.0;37.9;0.0;20.8;2.0
Honduras;Americas;2019;54.6;77.1;18.3;32.5;85.0;37.9;n/a;21.6;2.4
Honduras;Americas;2018;54.5;77.0;18.1;30.8;85.0;34.0;n/a;21.5;1.7
Hong Kong (China);Asia;2018;81.9;98.1;47.5;68.9;75.0;65.4;100.0;31.6;44.9
Hong Kong, China;Asia;2020;81.9;98.2;47.6;59.1;75.0;65.8;100.0;31.9;64.4
Hong Kong, China;Asia;2019;81.9;98.2;46.1;67.9;75.0;66.4;100.0;32.0;70.5
Hungary;Europa;2020;71.6;88.2;41.4;52.4;75.0;44.2;12.9;26.7;37.6
Hungary;Europa;2019;71.5;87.9;41.0;52.7;75.0;44.4;12.4;27.5;31.6
Hungary;Europa;2018;71.2;87.6;41.2;49.6;75.0;40.5;12.4;27.3;35.1
Iceland;Europa;2020;86.3;90.6;46.1;52.8;55.0;59.1;34.5;27.5;29.5
Iceland;Europa;2019;86.3;90.7;45.4;59.2;60.0;59.7;44.4;25.6;30.9
Iceland;Europa;2018;86.1;90.7;46.0;58.5;60.0;62.4;44.4;24.9;32.6
India;Asia;2020;71.8;81.6;31.6;38.1;80.0;47.7;0.3;19.8;18.7
India;Asia;2019;60.9;81.0;33.5;43.0;80.0;60.1;0.4;20.0;15.2
India;Asia;2018;58.1;75.4;32.8;40.4;75.0;57.3;0.4;19.4;22.4
Indonesia;Asia;2020;74.6;81.2;21.0;37.7;70.0;53.5;1.0;29.2;12.9
Indonesia;Asia;2019;74.6;81.2;21.3;44.2;70.0;53.8;1.2;28.9;13.9
Indonesia;Asia;2018;72.8;77.9;21.3;39.8;65.0;55.3;1.2;29.8;26.4
Iran (Islamic Republic of);Asia;2020;51.4;67.8;36.6;39.7;50.0;28.7;1.3;21.2;2.5
Iran (Islamic Republic of);Asia;2019;51.7;67.8;37.6;46.0;50.0;33.6;n/a;21.7;1.4
Iran, Islamic Republic of;Asia;2018;54.5;85.2;36.7;38.3;50.0;36.3;n/a;20.5;7.7
Ireland;Europa;2020;86.8;94.4;48.5;59.2;70.0;67.3;24.8;71.6;21.2
Ireland;Europa;2019;87.5;95.9;48.4;66.3;70.0;69.9;24.5;72.1;18.4
Ireland;Europa;2018;87.5;95.9;53.8;66.7;70.0;67.4;24.5;74.2;27.4
Israel;Asia;2020;83.4;94.1;55.1;51.1;70.0;78.5;11.3;21.4;30.8
Israel;Asia;2019;82.5;92.3;54.5;56.1;65.0;79.4;12.6;22.3;28.4
Israel;Asia;2018;82.5;92.3;55.3;58.6;65.0;78.1;12.6;23.6;40.9
Italy;Europa;2020;82.1;86.8;43.7;56.6;45.0;50.0;10.2;52.5;22.1
Italy;Europa;2019;83.4;89.5;45.4;59.4;45.0;49.5;9.7;53.4;21.7
Italy;Europa;2018;83.2;89.4;44.9;61.5;45.0;46.5;9.7;55.2;29.3
Jamaica;Africa;2020;83.7;97.4;22.6;26.4;85.0;44.8;5.4;32.1;2.2
Jamaica;Africa;2019;83.6;97.3;24.4;33.7;85.0;47.1;4.8;33.0;12.4
Jamaica;Africa;2018;83.3;97.3;23.1;31.6;80.0;42.0;4.8;32.6;2.4
Japan;Asia;2020;88.2;86.1;47.3;60.0;55.0;62.4;1.2;24.5;30.0
Japan;Asia;2019;89.8;86.1;49.1;64.0;55.0;64.5;0.5;24.7;30.9
Japan;Asia;2018;88.9;84.4;54.3;64.0;55.0;62.3;0.6;23.0;40.3
Jordan;Asia;2020;62.1;84.5;27.2;32.8;95.0;44.5;1.7;23.5;14.3
Jordan;Asia;2019;57.4;84.4;29.4;38.2;35.0;40.6;2.2;24.4;23.1
Jordan;Asia;2018;57.5;84.4;31.0;40.4;25.0;41.2;2.2;22.0;27.8
Kazakhstan;Asia;2020;80.6;94.4;29.7;40.8;80.0;40.9;6.9;1.2;6.6
Kazakhstan;Asia;2019;80.4;93.0;29.8;46.1;65.0;40.5;8.2;1.4;6.8
Kazakhstan;Asia;2018;79.7;92.0;29.1;45.4;55.0;39.1;8.2;0.9;8.2
Kenya;Africa;2020;72.6;82.7;15.8;25.5;95.0;51.5;5.1;12.9;17.3
Kenya;Africa;2019;69.9;82.4;17.5;29.6;90.0;55.1;3.1;13.6;30.6
Kenya;Africa;2018;63.2;83.2;14.6;33.5;75.0;54.9;3.1;13.7;36.7
Korea, Republic of;Asia;2018;92.6;95.8;65.3;62.7;65.0;57.0;9.4;21.1;30.6
Kuwait;Asia;2020;63.8;88.4;31.0;44.7;45.0;44.6;20.5;32.3;5.7
Kuwait;Asia;2019;60.3;81.4;25.5;50.2;35.0;40.2;n/a;32.8;4.6
Kuwait;Asia;2018;58.3;77.2;25.5;49.8;35.0;30.9;n/a;31.2;10.6
Kyrgyzstan;Asia;2020;71.5;93.0;29.0;32.3;85.0;28.9;4.3;7.4;4.3
Kyrgyzstan;Asia;2019;70.3;93.0;31.7;38.8;75.0;27.6;4.6;8.2;5.5
Kyrgyzstan;Asia;2018;65.3;92.9;29.9;36.0;75.0;25.5;4.7;7.5;10.9
Lao People's Democratic Republic (the);Asia;2020;31.3;62.7;14.6;23.7;60.0;44.4;0.0;0.0;26.8
Latvia;Europa;2020;77.0;94.1;37.3;47.0;85.0;49.5;27.9;9.1;42.1
Latvia;Europa;2019;76.9;94.1;36.9;50.5;85.0;38.3;29.4;9.3;46.9
